id	content	level	answer	choice_a	choice_b	choice_c	choice_d	formula	hint
1	Profound transitional solution	5	b	Francolinus coqui	Procyon lotor	Paraxerus cepapi	Martes americana	#ed5c7d	
2	Monitored leading edge open architecture	1	d	Oxybelis sp.	Libellula quadrimaculata	Coendou prehensilis	Alectura lathami	#ff111d	
3	Object-based upward-trending internet solution	4	b	Lamprotornis superbus	Acrobates pygmaeus	Pavo cristatus	Ctenophorus ornatus	#de7703	
4	Distributed local migration	5	b	Tamiasciurus hudsonicus	Pan troglodytes	Sula nebouxii	Gabianus pacificus	#c7e342	
5	Future-proofed contextually-based secured line	8	c	Chauna torquata	Chauna torquata	Cacatua tenuirostris	Hippotragus niger	#723a57	
6	Programmable solution-oriented function	4	a	Pavo cristatus	Petaurus norfolcensis	Ovis dalli stonei	Struthio camelus	#18c677	
7	Proactive empowering superstructure	2	c	Dendrocitta vagabunda	Cervus canadensis	Camelus dromedarius	Otocyon megalotis	#3fccb8	
8	Business-focused asymmetric hierarchy	5	a	Trichosurus vulpecula	Anas bahamensis	Nannopterum harrisi	Climacteris melanura	#9802e7	
9	Pre-emptive attitude-oriented model	7	c	Microcebus murinus	Tadorna tadorna	Cacatua tenuirostris	Paraxerus cepapi	#b51f24	
10	Profit-focused regional benchmark	1	d	Smithopsis crassicaudata	Pelecanus conspicillatus	Dasypus novemcinctus	Aonyx capensis	#525516	
11	Cross-group radical support	3	b	Anas platyrhynchos	Bucephala clangula	Phalaropus lobatus	Felis caracal	#fa6f88	
12	Compatible grid-enabled info-mediaries	9	c	Leprocaulinus vipera	Ardea golieth	Felis concolor	Choloepus hoffmani	#956485	
13	Proactive zero tolerance functionalities	1	b	Balearica pavonina	Propithecus verreauxi	Chelodina longicollis	Heloderma horridum	#fdd13e	
14	Realigned human-resource software	6	a	Tayassu tajacu	Chlidonias leucopterus	Eubalaena australis	Mustela nigripes	#58ca26	
15	Decentralized stable standardization	9	b	Sarkidornis melanotos	Varanus sp.	Chlamydosaurus kingii	Mazama gouazoubira	#92c53f	
16	Down-sized secondary support	9	b	Anitibyx armatus	Colaptes campestroides	Corvus brachyrhynchos	Chlamydosaurus kingii	#852f6a	
17	Cross-platform 24/7 complexity	6	c	Bucephala clangula	Chlidonias leucopterus	Deroptyus accipitrinus	Genetta genetta	#e6ebdc	
18	Advanced reciprocal definition	7	a	Coluber constrictor	Cebus apella	Meleagris gallopavo	Nectarinia chalybea	#61262e	
19	Secured tertiary challenge	4	b	Phylurus milli	Corythornis cristata	Podargus strigoides	Ceratotherium simum	#75578f	
20	Switchable 4th generation open architecture	7	c	Dicrostonyx groenlandicus	Haliaeetus leucocephalus	Pteronura brasiliensis	Cracticus nigroagularis	#f14b8e	
21	Upgradable client-driven Graphic Interface	9	a	Butorides striatus	Bison bison	Gyps bengalensis	unavailable	#dc50ed	
22	Re-contextualized systematic challenge	2	b	Globicephala melas	Gopherus agassizii	Vulpes vulpes	Dacelo novaeguineae	#d6b731	
23	Quality-focused mobile throughput	10	d	Alligator mississippiensis	Canis aureus	Ctenophorus ornatus	Cercopithecus aethiops	#f871b4	
24	Seamless 5th generation intranet	7	b	Bos mutus	Tayassu pecari	Motacilla aguimp	Genetta genetta	#9962b1	
25	Function-based analyzing budgetary management	8	b	Trachyphonus vaillantii	Canis aureus	Anastomus oscitans	Macropus eugenii	#42edd2	
26	Adaptive systematic capacity	8	a	Tetracerus quadricornis	Buteo regalis	Cordylus giganteus	Paraxerus cepapi	#d63836	
